"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,97,120,97,"standard"
0,0,0,18,6,6,"standard"
0,0,0,140,128,143,"standard"
0,0,0,756,756,7,"standard"
0,0,0,4,4,4,"standard"
0,0,0,53,60,236,"standard"
0,0,0,5,13,67,"standard"
0,0,0,568,529,5,"standard"
0,0,0,3,399,4,"standard"
0,0,0,15,878,858,"standard"
0,0,0,43,55,53,"standard"
0,0,0,54,62,9,"standard"
0,0,0,5,5,3,"standard"
0,0,0,361,325,361,"standard"
0,0,0,26,32,22,"standard"
0,0,0,86,109,47,"standard"
429,68,0,1000,1000,350,"standard"
0,0,0,113,99,68,"standard"
0,0,0,706,705,11,"standard"
0,0,0,226,234,3,"standard"
0,0,0,67,53,7,"standard"
195,170,600,1000,1000,1000,"standard"
0,0,0,531,2,531,"standard"
0,0,0,22,178,178,"standard"
0,0,0,12,11,11,"standard"
0,0,98,970,45,1000,"standard"
0,0,0,3,7,3,"standard"
0,0,0,46,27,46,"standard"
0,0,0,23,5,3,"standard"
0,0,0,41,112,128,"standard"
0,0,0,291,329,322,"standard"
0,0,0,4,129,128,"standard"
0,0,0,10,11,8,"standard"
0,0,0,2,5,5,"standard"
0,0,0,114,5,112,"standard"
0,0,0,5,2,108,"standard"
0,0,0,25,33,26,"standard"
288,98,0,1000,1000,32,"standard"
0,0,0,83,54,2,"standard"
0,0,0,371,563,374,"standard"
0,0,0,29,68,77,"standard"
0,0,0,41,44,47,"standard"
0,0,0,3,44,4,"standard"
0,0,0,208,162,143,"standard"
0,0,0,661,683,165,"standard"
0,0,0,22,25,21,"standard"
0,0,0,2,10,3,"standard"
0,0,0,105,80,101,"standard"
0,0,0,11,11,15,"standard"
0,0,0,14,929,929,"standard"
0,0,0,939,751,602,"standard"
0,0,0,4,2,4,"standard"
0,0,0,38,31,29,"standard"
0,0,0,101,114,68,"standard"
0,0,0,147,168,8,"standard"
0,0,0,21,9,10,"standard"
0,0,0,71,17,3,"standard"
0,0,0,6,6,7,"standard"
0,0,0,26,20,25,"standard"
0,0,0,15,19,66,"standard"
0,0,0,10,483,338,"standard"
0,0,0,5,11,4,"standard"
0,0,0,17,932,17,"standard"
0,0,0,668,13,662,"standard"
0,0,0,576,378,48,"standard"
0,0,0,524,548,492,"standard"
0,0,0,799,367,805,"standard"
0,0,0,6,9,9,"standard"
0,0,0,9,453,6,"standard"
