"st1","st2","t_fin1","t_fin2","condition"
0,0,23,11,"standard"
0,0,10,13,"standard"
0,0,182,202,"standard"
0,0,17,17,"standard"
0,0,3,3,"standard"
0,0,21,23,"standard"
0,0,30,28,"standard"
0,0,183,187,"standard"
0,0,8,2,"standard"
0,0,681,693,"standard"
0,0,989,989,"standard"
0,0,381,371,"standard"
0,0,321,322,"standard"
0,0,477,453,"standard"
0,0,256,192,"standard"
0,0,10,10,"standard"
0,0,16,17,"standard"
0,0,4,4,"standard"
0,0,58,10,"standard"
0,0,79,74,"standard"
0,0,100,104,"standard"
0,0,217,218,"standard"
0,0,3,28,"standard"
0,0,612,619,"standard"
94,190,1000,1000,"standard"
0,0,3,11,"standard"
134,0,1000,327,"standard"
0,0,209,200,"standard"
0,0,737,739,"standard"
0,0,29,17,"standard"
0,0,47,5,"standard"
0,0,3,3,"standard"
0,0,116,164,"standard"
0,0,2,12,"standard"
0,0,22,23,"standard"
0,0,12,3,"standard"
0,0,26,49,"standard"
0,0,22,24,"standard"
0,0,13,442,"standard"
0,0,2,16,"standard"
0,0,3,8,"standard"
0,0,18,17,"standard"
0,0,113,223,"standard"
0,0,77,81,"standard"
0,0,3,3,"standard"
0,0,12,3,"standard"
0,0,312,311,"standard"
0,0,49,19,"standard"
0,0,124,125,"standard"
0,0,4,2,"standard"
0,0,116,119,"standard"
343,304,1000,1000,"standard"
0,0,11,9,"standard"
0,0,5,9,"standard"
74,80,1000,1000,"standard"
0,0,3,7,"standard"
0,0,14,14,"standard"
0,0,12,12,"standard"
167,71,1000,1000,"standard"
0,0,95,96,"standard"
0,0,5,11,"standard"
0,0,55,40,"standard"
0,0,4,2,"standard"
0,0,9,12,"standard"
0,0,855,855,"standard"
0,0,481,11,"standard"
0,0,15,20,"standard"
0,0,137,155,"standard"
0,0,119,10,"standard"
0,0,12,70,"standard"
0,0,402,945,"standard"
0,0,58,54,"standard"
0,0,3,15,"standard"
0,0,3,14,"standard"
0,0,19,68,"standard"
0,0,16,58,"standard"
0,0,611,618,"standard"
0,0,392,417,"standard"
0,0,8,17,"standard"
0,0,4,69,"standard"
0,0,583,241,"standard"
0,0,13,42,"standard"
0,0,2,12,"standard"
0,0,45,45,"standard"
0,0,7,73,"standard"
0,0,2,5,"standard"
0,0,10,14,"standard"
0,0,5,49,"standard"
0,0,2,3,"standard"
148,413,1000,1000,"standard"
0,0,82,79,"standard"
0,0,401,399,"standard"
0,0,445,458,"standard"
0,0,137,46,"standard"
0,0,715,730,"standard"
0,0,125,137,"standard"
0,0,8,2,"standard"
0,0,112,112,"standard"
0,0,2,7,"standard"
0,0,662,662,"standard"
0,0,11,15,"standard"
0,0,5,9,"standard"
87,87,1000,1000,"standard"
0,0,55,55,"standard"
0,0,10,118,"standard"
0,177,4,1000,"standard"
0,0,2,4,"standard"
0,0,83,76,"standard"
0,0,17,25,"standard"
0,0,124,125,"standard"
0,0,37,15,"standard"
0,0,8,30,"standard"
